time,open,high,low,close
2023-01-02 07:00:00,89.111,89.147,89.09,89.106
2023-01-02 08:00:00,89.101,89.171,89.101,89.122
2023-01-02 09:00:00,88.986,89.171,88.97,89.102
2023-01-02 10:00:00,89.113,89.18,89.008,89.059
2023-01-02 11:00:00,89.056,89.071,88.903,88.926
2023-01-02 12:00:00,88.925,89.036,88.856,88.881
2023-01-02 13:00:00,88.879,89.034,88.879,88.992
2023-01-02 14:00:00,88.984,89.084,88.896,89.008
2023-01-02 15:00:00,89.013,89.022,88.879,88.923
2023-01-02 16:00:00,88.921,89.103,88.916,89.078
2023-01-02 17:00:00,89.065,89.173,89.051,89.166
2023-01-02 18:00:00,89.16,89.217,89.087,89.118
2023-01-02 19:00:00,89.1,89.158,89.078,89.139
2023-01-02 20:00:00,89.147,89.147,89.025,89.083
2023-01-02 21:00:00,89.036,89.118,88.998,89.003
2023-01-02 22:00:00,89.006,89.056,88.839,88.839
2023-01-02 23:00:00,88.841,89.002,88.712,88.864
2023-01-03 00:00:00,88.864,88.942,88.721,88.795
2023-01-03 01:00:00,88.848,89.318,88.798,89.031
2023-01-03 02:00:00,89.03,89.083,88.69,88.759
2023-01-03 03:00:00,88.762,88.774,88.022,88.254
2023-01-03 04:00:00,88.256,88.51,88.219,88.491
2023-01-03 05:00:00,88.493,88.7,88.481,88.654
2023-01-03 06:00:00,88.651,88.656,88.407,88.47
2023-01-03 07:00:00,88.471,88.493,88.16,88.215
2023-01-03 08:00:00,88.213,88.398,88.109,88.3
2023-01-03 09:00:00,88.3,88.463,88.285,88.303
2023-01-03 10:00:00,88.305,88.342,87.721,87.786
2023-01-03 11:00:00,87.786,87.786,87.432,87.657
2023-01-03 12:00:00,87.657,87.7,87.512,87.607
2023-01-03 13:00:00,87.608,87.661,87.408,87.658
2023-01-03 14:00:00,87.657,87.859,87.645,87.83
2023-01-03 15:00:00,87.828,88.042,87.725,88.028
2023-01-03 16:00:00,88.028,88.159,87.825,87.865
2023-01-03 17:00:00,87.864,88.233,87.862,88.16
2023-01-03 18:00:00,88.162,88.198,87.99,88.039
2023-01-03 19:00:00,88.039,88.112,87.974,87.996
2023-01-03 20:00:00,87.996,87.996,87.844,87.949
2023-01-03 21:00:00,87.949,88.151,87.915,88.092
2023-01-03 22:00:00,88.09,88.13,88.039,88.114
2023-01-03 23:00:00,88.118,88.149,88.041,88.118
2023-01-04 00:00:00,88.093,88.149,88.019,88.104
2023-01-04 01:00:00,88.11,88.298,88.086,88.293
2023-01-04 02:00:00,88.298,88.35,88.025,88.347
2023-01-04 03:00:00,88.343,88.585,88.32,88.372
2023-01-04 04:00:00,88.373,88.606,88.365,88.522
2023-01-04 05:00:00,88.523,88.626,88.456,88.608
2023-01-04 06:00:00,88.607,89.165,88.605,89.028
2023-01-04 07:00:00,89.028,89.14,88.795,88.995
2023-01-04 08:00:00,88.994,89.0,88.839,88.942
2023-01-04 09:00:00,88.945,89.168,88.882,89.11
2023-01-04 10:00:00,89.113,89.683,89.027,89.665
2023-01-04 11:00:00,89.666,89.741,89.547,89.61
2023-01-04 12:00:00,89.61,89.736,89.61,89.724
2023-01-04 13:00:00,89.725,89.751,89.635,89.697
2023-01-04 14:00:00,89.698,89.883,89.66,89.706
2023-01-04 15:00:00,89.705,89.883,89.649,89.858
2023-01-04 16:00:00,89.857,90.128,89.838,90.08
2023-01-04 17:00:00,90.094,90.558,89.895,90.471
2023-01-04 18:00:00,90.472,90.536,90.35,90.529
2023-01-04 19:00:00,90.53,90.878,90.501,90.726
2023-01-04 20:00:00,90.728,90.837,90.541,90.571
2023-01-04 21:00:00,90.561,90.72,90.471,90.698
