time,open,high,low,close
2023-01-02 07:00:00,158.124,158.198,158.061,158.124
2023-01-02 08:00:00,158.114,158.193,157.987,158.193
2023-01-02 09:00:00,158.193,158.193,157.937,157.994
2023-01-02 10:00:00,158.025,158.153,157.712,157.726
2023-01-02 11:00:00,157.789,157.882,157.635,157.646
2023-01-02 12:00:00,157.667,157.725,157.555,157.625
2023-01-02 13:00:00,157.62,157.742,157.593,157.602
2023-01-02 14:00:00,157.602,157.642,157.52,157.562
2023-01-02 15:00:00,157.563,157.588,157.425,157.458
2023-01-02 16:00:00,157.443,157.654,157.439,157.561
2023-01-02 17:00:00,157.55,157.675,157.546,157.586
2023-01-02 18:00:00,157.549,157.612,157.387,157.528
2023-01-02 19:00:00,157.526,157.593,157.481,157.567
2023-01-02 20:00:00,157.564,157.59,157.495,157.571
2023-01-02 21:00:00,157.564,157.569,157.453,157.494
2023-01-02 22:00:00,157.506,157.547,157.432,157.497
2023-01-02 23:00:00,157.497,157.524,157.324,157.41
2023-01-03 00:00:00,157.41,157.548,157.271,157.471
2023-01-03 01:00:00,157.574,158.375,157.372,157.755
2023-01-03 02:00:00,157.751,157.895,157.423,157.432
2023-01-03 03:00:00,157.437,157.448,156.374,156.836
2023-01-03 04:00:00,156.84,157.096,156.71,156.921
2023-01-03 05:00:00,156.921,156.999,156.639,156.688
2023-01-03 06:00:00,156.681,156.705,156.439,156.449
2023-01-03 07:00:00,156.452,156.82,156.423,156.674
2023-01-03 08:00:00,156.671,156.818,156.44,156.621
2023-01-03 09:00:00,156.619,156.929,156.452,156.492
2023-01-03 10:00:00,156.493,156.6,155.725,155.782
2023-01-03 11:00:00,155.782,155.835,155.347,155.498
2023-01-03 12:00:00,155.499,155.79,155.397,155.633
2023-01-03 13:00:00,155.633,156.198,155.595,156.148
2023-01-03 14:00:00,156.148,156.732,156.119,156.582
2023-01-03 15:00:00,156.586,156.874,156.392,156.691
2023-01-03 16:00:00,156.695,157.09,156.542,156.607
2023-01-03 17:00:00,156.607,157.321,156.601,156.997
2023-01-03 18:00:00,157.002,157.066,156.499,156.583
2023-01-03 19:00:00,156.583,156.667,156.367,156.477
2023-01-03 20:00:00,156.476,156.595,156.399,156.469
2023-01-03 21:00:00,156.473,156.723,156.414,156.716
2023-01-03 22:00:00,156.712,156.855,156.71,156.794
2023-01-03 23:00:00,156.795,156.841,156.647,156.755
2023-01-04 00:00:00,156.745,156.809,156.673,156.74
2023-01-04 01:00:00,156.732,157.247,156.729,157.093
2023-01-04 02:00:00,157.097,157.23,156.796,157.077
2023-01-04 03:00:00,157.068,157.251,156.609,156.687
2023-01-04 04:00:00,156.686,156.932,156.679,156.775
2023-01-04 05:00:00,156.774,156.868,156.581,156.627
2023-01-04 06:00:00,156.625,156.932,156.625,156.883
2023-01-04 07:00:00,156.884,156.964,156.773,156.811
2023-01-04 08:00:00,156.806,156.808,156.624,156.686
2023-01-04 09:00:00,156.681,156.771,156.496,156.633
2023-01-04 10:00:00,156.638,157.292,156.605,157.177
2023-01-04 11:00:00,157.18,157.465,157.138,157.281
2023-01-04 12:00:00,157.282,157.667,157.282,157.39
2023-01-04 13:00:00,157.386,157.505,157.137,157.349
2023-01-04 14:00:00,157.349,157.779,157.345,157.63
2023-01-04 15:00:00,157.63,157.643,157.466,157.577
2023-01-04 16:00:00,157.577,158.156,157.546,158.063
2023-01-04 17:00:00,158.076,159.12,157.891,158.999
2023-01-04 18:00:00,159.001,159.22,158.798,159.191
2023-01-04 19:00:00,159.195,160.171,159.146,159.922
2023-01-04 20:00:00,159.922,159.963,159.736,159.832
2023-01-04 21:00:00,159.846,159.989,159.677,159.915
2023-01-04 22:00:00,159.915,160.013,159.804,159.993
2023-01-04 23:00:00,159.99,160.003,159.853,159.853
2023-01-05 00:00:00,159.917,159.917,159.602,159.605
2023-01-05 01:00:00,159.744,159.772,159.264,159.446
2023-01-05 02:00:00,159.435,159.472,159.036,159.217
2023-01-05 03:00:00,159.218,159.308,158.994,159.196
2023-01-05 04:00:00,159.198,159.255,158.943,159.007
2023-01-05 05:00:00,159.007,159.357,158.964,159.296
2023-01-05 06:00:00,159.296,159.373,159.104,159.269
2023-01-05 07:00:00,159.269,159.585,159.258,159.469
2023-01-05 08:00:00,159.471,159.588,159.223,159.235
2023-01-05 09:00:00,159.223,159.304,159.014,159.077
2023-01-05 10:00:00,159.076,159.664,158.986,159.376
2023-01-05 11:00:00,159.377,159.474,159.249,159.44
2023-01-05 12:00:00,159.428,159.533,159.225,159.317
2023-01-05 13:00:00,159.317,159.375,159.127,159.238
2023-01-05 14:00:00,159.237,159.449,159.166,159.335
2023-01-05 15:00:00,159.334,160.038,159.208,159.35
2023-01-05 16:00:00,159.35,159.378,159.1,159.25
2023-01-05 17:00:00,159.251,159.466,158.946,159.05
2023-01-05 18:00:00,159.051,159.117,158.8,158.962
2023-01-05 19:00:00,158.962,158.985,158.582,158.659
2023-01-05 20:00:00,158.661,158.831,158.504,158.796
2023-01-05 21:00:00,158.799,158.981,158.721,158.729
2023-01-05 22:00:00,158.727,158.867,158.725,158.833
2023-01-05 23:00:00,158.833,158.946,158.809,158.913
2023-01-06 00:00:00,158.75,158.952,158.567,158.856
2023-01-06 01:00:00,158.856,159.013,158.727,158.756
2023-01-06 02:00:00,158.752,159.259,158.749,159.231
2023-01-06 03:00:00,159.23,159.472,159.217,159.466
2023-01-06 04:00:00,159.473,159.529,159.289,159.367
2023-01-06 05:00:00,159.365,159.785,159.352,159.621
2023-01-06 06:00:00,159.621,159.767,159.561,159.669
2023-01-06 07:00:00,159.668,159.914,159.381,159.696
2023-01-06 08:00:00,159.707,159.876,159.577,159.578
2023-01-06 09:00:00,159.576,159.755,159.304,159.602
2023-01-06 10:00:00,159.602,160.015,159.571,159.688
2023-01-06 11:00:00,159.688,159.77,159.32,159.381
2023-01-06 12:00:00,159.383,159.434,159.157,159.286
2023-01-06 13:00:00,159.283,159.476,159.183,159.374
2023-01-06 14:00:00,159.381,159.723,159.351,159.711
2023-01-06 15:00:00,159.711,159.94,158.893,159.06
2023-01-06 16:00:00,159.06,159.444,158.915,159.431
2023-01-06 17:00:00,159.084,159.685,159.055,159.53
2023-01-06 18:00:00,159.53,159.708,159.392,159.482
2023-01-06 19:00:00,159.478,159.65,159.422,159.65
2023-01-06 20:00:00,159.65,159.696,159.506,159.601
2023-01-06 21:00:00,159.601,159.775,159.57,159.719
2023-01-06 22:00:00,159.726,159.79,159.674,159.771
2023-01-06 23:00:00,159.769,159.834,159.687,159.815
2023-01-09 00:00:00,159.28,159.757,159.206,159.701
2023-01-09 01:00:00,159.696,159.976,159.606,159.74
2023-01-09 02:00:00,159.742,159.832,159.59,159.619
2023-01-09 03:00:00,159.619,159.712,159.477,159.583
2023-01-09 04:00:00,159.583,159.64,159.355,159.385
2023-01-09 05:00:00,159.386,159.591,159.302,159.561
2023-01-09 06:00:00,159.563,159.963,159.506,159.9
2023-01-09 07:00:00,159.898,160.303,159.877,160.135
2023-01-09 08:00:00,160.135,160.278,160.017,160.104
2023-01-09 09:00:00,160.103,160.612,159.997,160.522
2023-01-09 10:00:00,160.52,160.705,160.43,160.642
2023-01-09 11:00:00,160.645,161.234,160.643,161.023
2023-01-09 12:00:00,161.024,161.035,160.575,160.65
2023-01-09 13:00:00,160.651,160.948,160.572,160.918
2023-01-09 14:00:00,160.918,160.918,160.456,160.568
2023-01-09 15:00:00,160.564,160.659,160.315,160.348
2023-01-09 16:00:00,160.35,160.764,160.306,160.725
2023-01-09 17:00:00,160.725,161.089,160.625,160.849
2023-01-09 18:00:00,160.849,160.881,160.522,160.586
2023-01-09 19:00:00,160.586,160.694,160.552,160.674
2023-01-09 20:00:00,160.674,160.738,160.56,160.68
2023-01-09 21:00:00,160.681,160.706,160.462,160.556
2023-01-09 22:00:00,160.556,160.724,160.472,160.529
2023-01-09 23:00:00,160.525,160.702,160.511,160.675
2023-01-10 00:00:00,160.484,160.694,160.421,160.6
2023-01-10 01:00:00,160.6,160.731,160.334,160.48
2023-01-10 02:00:00,160.483,160.931,160.314,160.327
2023-01-10 03:00:00,160.326,160.368,160.029,160.184
2023-01-10 04:00:00,160.184,160.384,160.142,160.366
2023-01-10 05:00:00,160.366,160.485,160.317,160.403
2023-01-10 06:00:00,160.407,160.525,160.368,160.488
2023-01-10 07:00:00,160.488,160.535,160.298,160.423
2023-01-10 08:00:00,160.426,160.582,160.349,160.55
2023-01-10 09:00:00,160.549,160.795,160.439,160.641
2023-01-10 10:00:00,160.642,160.706,160.34,160.402
2023-01-10 11:00:00,160.404,160.608,160.24,160.602
2023-01-10 12:00:00,160.602,160.652,160.511,160.63
2023-01-10 13:00:00,160.63,160.79,160.464,160.493
2023-01-10 14:00:00,160.487,160.651,160.376,160.54
2023-01-10 15:00:00,160.54,160.661,160.399,160.552
2023-01-10 16:00:00,160.555,160.58,160.279,160.463
2023-01-10 17:00:00,160.461,160.783,160.313,160.557
2023-01-10 18:00:00,160.555,160.894,160.548,160.723
2023-01-10 19:00:00,160.721,160.768,160.547,160.61
2023-01-10 20:00:00,160.608,160.85,160.565,160.843
2023-01-10 21:00:00,160.843,160.905,160.775,160.839
2023-01-10 22:00:00,160.841,160.841,160.623,160.679
2023-01-10 23:00:00,160.685,160.744,160.589,160.667
2023-01-11 00:00:00,160.573,160.661,160.4,160.489
2023-01-11 01:00:00,160.494,160.66,160.421,160.542
2023-01-11 02:00:00,160.538,160.897,160.533,160.809
2023-01-11 03:00:00,160.81,160.898,160.715,160.849
2023-01-11 04:00:00,160.847,161.074,160.827,161.02
2023-01-11 05:00:00,161.021,161.045,160.913,160.978
2023-01-11 06:00:00,160.98,161.058,160.811,160.825
2023-01-11 07:00:00,160.825,160.962,160.816,160.937
2023-01-11 08:00:00,160.937,161.085,160.88,160.919
2023-01-11 09:00:00,160.92,161.046,160.843,160.979
2023-01-11 10:00:00,160.979,161.203,160.828,160.9
2023-01-11 11:00:00,160.899,161.064,160.683,160.726
2023-01-11 12:00:00,160.725,160.83,160.537,160.787
2023-01-11 13:00:00,160.787,160.833,160.558,160.81
2023-01-11 14:00:00,160.811,160.887,160.605,160.838
2023-01-11 15:00:00,160.838,160.954,160.521,160.634
2023-01-11 16:00:00,160.633,161.003,160.52,160.995
2023-01-11 17:00:00,160.995,161.11,160.642,160.783
2023-01-11 18:00:00,160.784,160.84,160.559,160.722
2023-01-11 19:00:00,160.724,160.778,160.575,160.579
2023-01-11 20:00:00,160.579,160.861,160.579,160.754
2023-01-11 21:00:00,160.754,160.962,160.692,160.938
2023-01-11 22:00:00,160.938,160.999,160.867,160.965
2023-01-11 23:00:00,160.964,160.998,160.86,160.964
2023-01-12 00:00:00,160.745,160.908,160.678,160.741
2023-01-12 01:00:00,160.739,160.842,160.215,160.362
2023-01-12 02:00:00,160.366,160.504,160.008,160.267
2023-01-12 03:00:00,160.271,160.459,159.911,160.08
2023-01-12 04:00:00,160.081,160.213,159.912,160.073
2023-01-12 05:00:00,160.077,160.21,160.063,160.2
2023-01-12 06:00:00,160.201,160.305,159.886,159.929
2023-01-12 07:00:00,159.929,160.022,159.857,160.007
2023-01-12 08:00:00,160.008,160.018,159.83,159.98
2023-01-12 09:00:00,159.983,160.114,159.853,159.863
2023-01-12 10:00:00,159.863,160.001,159.777,159.877
2023-01-12 11:00:00,159.877,160.017,159.345,159.455
2023-01-12 12:00:00,159.455,159.711,159.214,159.544
2023-01-12 13:00:00,159.544,159.544,159.074,159.155
2023-01-12 14:00:00,159.156,159.211,158.528,158.559
2023-01-12 15:00:00,158.561,158.962,158.19,158.631
2023-01-12 16:00:00,158.63,158.971,158.016,158.231
2023-01-12 17:00:00,158.231,158.279,157.708,157.811
2023-01-12 18:00:00,157.812,158.085,157.725,158.046
2023-01-12 19:00:00,158.046,158.237,157.771,157.984
2023-01-12 20:00:00,157.983,158.016,157.768,157.938
2023-01-12 21:00:00,157.938,158.041,157.811,158.031
2023-01-12 22:00:00,158.031,158.092,157.764,157.799
2023-01-12 23:00:00,157.799,157.96,157.758,157.818
2023-01-13 00:00:00,157.79,158.003,157.662,157.841
2023-01-13 01:00:00,157.841,158.048,157.633,157.793
2023-01-13 02:00:00,157.793,157.923,157.345,157.745
2023-01-13 03:00:00,157.746,157.871,157.354,157.526
2023-01-13 04:00:00,157.526,157.681,157.451,157.624
2023-01-13 05:00:00,157.624,157.644,157.445,157.502
2023-01-13 06:00:00,157.502,157.597,157.291,157.505
2023-01-13 07:00:00,157.506,157.56,157.318,157.326
2023-01-13 08:00:00,157.327,157.397,156.734,156.826
2023-01-13 09:00:00,156.826,157.062,156.596,156.773
2023-01-13 10:00:00,156.773,157.033,156.597,156.98
2023-01-13 11:00:00,156.98,157.414,156.944,157.153
2023-01-13 12:00:00,157.15,157.243,156.952,157.003
2023-01-13 13:00:00,157.001,157.06,156.619,156.721
2023-01-13 14:00:00,156.721,156.859,156.439,156.493
2023-01-13 15:00:00,156.493,156.573,155.928,156.027
2023-01-13 16:00:00,156.027,156.211,155.667,155.846
2023-01-13 17:00:00,155.823,156.152,155.637,155.749
2023-01-13 18:00:00,155.749,155.989,155.643,155.887
2023-01-13 19:00:00,155.887,155.977,155.713,155.913
2023-01-13 20:00:00,155.914,156.327,155.864,156.315
2023-01-13 21:00:00,156.315,156.45,156.237,156.433
2023-01-13 22:00:00,156.433,156.521,156.387,156.453
2023-01-13 23:00:00,156.449,156.474,156.338,156.432
2023-01-16 00:00:00,155.987,156.234,155.79,156.233
2023-01-16 01:00:00,156.224,156.658,156.174,156.511
2023-01-16 02:00:00,156.514,156.919,156.467,156.556
2023-01-16 03:00:00,156.555,156.73,156.275,156.668
2023-01-16 04:00:00,156.67,156.795,156.28,156.418
2023-01-16 05:00:00,156.418,156.45,156.178,156.303
2023-01-16 06:00:00,156.302,156.572,156.245,156.491
2023-01-16 07:00:00,156.491,156.66,156.453,156.483
2023-01-16 08:00:00,156.485,156.768,156.351,156.665
2023-01-16 09:00:00,156.665,156.793,156.433,156.51
2023-01-16 10:00:00,156.508,157.069,156.379,156.725
2023-01-16 11:00:00,156.725,156.807,156.49,156.611
2023-01-16 12:00:00,156.611,156.959,156.566,156.824
2023-01-16 13:00:00,156.825,156.971,156.462,156.582
2023-01-16 14:00:00,156.572,156.696,156.44,156.516
2023-01-16 15:00:00,156.516,156.628,156.45,156.582
2023-01-16 16:00:00,156.583,156.919,156.518,156.735
2023-01-16 17:00:00,156.735,156.91,156.643,156.864
2023-01-16 18:00:00,156.872,156.993,156.761,156.957
2023-01-16 19:00:00,156.958,157.036,156.894,156.902
2023-01-16 20:00:00,156.905,156.917,156.66,156.709
2023-01-16 21:00:00,156.708,156.773,156.642,156.772
2023-01-16 22:00:00,156.772,156.812,156.717,156.749
2023-01-16 23:00:00,156.753,156.841,156.62,156.778
2023-01-17 00:00:00,156.635,156.778,156.604,156.699
2023-01-17 01:00:00,156.725,156.762,156.378,156.676
2023-01-17 02:00:00,156.674,156.946,156.576,156.618
2023-01-17 03:00:00,156.615,157.134,156.582,156.978
2023-01-17 04:00:00,156.982,157.232,156.92,157.18
2023-01-17 05:00:00,157.18,157.198,156.903,156.973
2023-01-17 06:00:00,156.973,157.017,156.857,156.888
2023-01-17 07:00:00,156.888,156.967,156.833,156.953
2023-01-17 08:00:00,156.953,157.17,156.81,156.938
2023-01-17 09:00:00,156.937,157.343,156.876,157.235
2023-01-17 10:00:00,157.234,157.282,156.871,156.885
2023-01-17 11:00:00,156.883,157.375,156.883,157.221
2023-01-17 12:00:00,157.224,157.519,157.17,157.406
2023-01-17 13:00:00,157.406,157.838,157.366,157.715
2023-01-17 14:00:00,157.714,157.824,157.424,157.574
2023-01-17 15:00:00,157.569,157.697,157.218,157.688
2023-01-17 16:00:00,157.688,157.859,157.493,157.664
2023-01-17 17:00:00,157.664,158.027,157.276,157.335
2023-01-17 18:00:00,157.335,157.387,157.066,157.175
2023-01-17 19:00:00,157.171,157.275,157.073,157.248
2023-01-17 20:00:00,157.25,157.459,157.219,157.43
2023-01-17 21:00:00,157.43,157.554,157.327,157.519
2023-01-17 22:00:00,157.52,157.535,157.394,157.422
2023-01-17 23:00:00,157.422,157.581,157.4,157.412
2023-01-18 00:00:00,157.394,157.553,157.149,157.466
2023-01-18 01:00:00,157.467,157.599,157.377,157.568
2023-01-18 02:00:00,157.573,158.141,157.479,158.104
2023-01-18 03:00:00,158.119,158.371,157.857,157.923
2023-01-18 04:00:00,157.922,160.328,157.67,160.195
2023-01-18 05:00:00,160.175,161.005,160.118,160.869
2023-01-18 06:00:00,160.873,161.445,160.838,161.313
2023-01-18 07:00:00,161.313,161.521,160.58,160.664
2023-01-18 08:00:00,160.665,161.2,160.472,160.663
2023-01-18 09:00:00,160.729,161.169,160.36,160.406
2023-01-18 10:00:00,160.405,160.511,159.824,159.99
2023-01-18 11:00:00,159.985,160.125,159.345,159.91
2023-01-18 12:00:00,159.909,160.081,159.313,159.514
2023-01-18 13:00:00,159.513,160.037,159.411,159.586
2023-01-18 14:00:00,159.579,159.744,159.382,159.652
2023-01-18 15:00:00,159.651,159.756,158.795,158.801
2023-01-18 16:00:00,158.798,159.11,158.589,159.02
2023-01-18 17:00:00,159.02,159.243,158.722,159.091
2023-01-18 18:00:00,159.091,159.117,158.767,158.868
2023-01-18 19:00:00,158.863,159.152,158.792,159.024
2023-01-18 20:00:00,159.029,159.037,158.699,158.862
2023-01-18 21:00:00,158.86,158.928,158.76,158.811
2023-01-18 22:00:00,158.809,159.008,158.809,158.986
2023-01-18 23:00:00,158.99,159.21,158.916,159.15
2023-01-19 00:00:00,159.11,159.144,158.84,158.918
2023-01-19 01:00:00,158.909,159.055,158.564,158.703
2023-01-19 02:00:00,158.691,158.708,158.11,158.21
2023-01-19 03:00:00,158.212,158.652,158.168,158.612
2023-01-19 04:00:00,158.613,158.622,158.299,158.34
2023-01-19 05:00:00,158.34,158.411,158.133,158.225
2023-01-19 06:00:00,158.225,158.229,157.77,157.873
2023-01-19 07:00:00,157.873,157.904,157.564,157.807
2023-01-19 08:00:00,157.807,157.884,157.685,157.732
2023-01-19 09:00:00,157.734,158.183,157.651,158.091
2023-01-19 10:00:00,158.091,158.338,158.011,158.054
2023-01-19 11:00:00,158.059,158.374,158.043,158.305
2023-01-19 12:00:00,158.305,158.667,158.256,158.524
2023-01-19 13:00:00,158.523,158.9,158.415,158.865
2023-01-19 14:00:00,158.865,158.888,158.533,158.63
2023-01-19 15:00:00,158.632,158.792,158.43,158.539
2023-01-19 16:00:00,158.538,158.613,158.408,158.538
2023-01-19 17:00:00,158.538,158.801,158.49,158.755
2023-01-19 18:00:00,158.755,159.021,158.707,158.859
2023-01-19 19:00:00,158.852,159.094,158.849,159.06
2023-01-19 20:00:00,159.063,159.13,158.971,159.021
2023-01-19 21:00:00,159.018,159.177,159.013,159.163
2023-01-19 22:00:00,159.161,159.217,159.016,159.083
2023-01-19 23:00:00,159.09,159.157,159.042,159.1
2023-01-20 00:00:00,159.02,159.13,158.981,159.025
2023-01-20 01:00:00,159.025,159.231,159.025,159.071
2023-01-20 02:00:00,159.071,159.403,159.036,159.317
2023-01-20 03:00:00,159.319,159.61,159.194,159.561
2023-01-20 04:00:00,159.561,159.655,159.481,159.494
2023-01-20 05:00:00,159.492,159.552,159.371,159.482
2023-01-20 06:00:00,159.481,159.702,159.456,159.613
2023-01-20 07:00:00,159.613,159.97,159.573,159.896
2023-01-20 08:00:00,159.896,159.906,159.684,159.728
2023-01-20 09:00:00,159.731,159.737,159.188,159.342
2023-01-20 10:00:00,159.345,159.703,159.226,159.642
2023-01-20 11:00:00,159.638,159.864,159.575,159.765
2023-01-20 12:00:00,159.764,160.339,159.745,160.302
2023-01-20 13:00:00,160.305,160.574,160.138,160.476
2023-01-20 14:00:00,160.476,160.878,160.464,160.723
2023-01-20 15:00:00,160.724,161.188,160.672,161.175
2023-01-20 16:00:00,161.175,161.282,160.849,160.972
2023-01-20 17:00:00,160.974,161.174,160.646,160.708
2023-01-20 18:00:00,160.708,160.791,160.59,160.784
2023-01-20 19:00:00,160.786,160.81,160.575,160.69
2023-01-20 20:00:00,160.691,160.709,160.428,160.592
2023-01-20 21:00:00,160.59,160.643,160.474,160.598
2023-01-20 22:00:00,160.598,160.67,160.529,160.602
2023-01-20 23:00:00,160.6,160.699,160.578,160.683
2023-01-23 00:00:00,160.494,160.701,160.484,160.694
2023-01-23 01:00:00,160.694,160.843,160.445,160.504
2023-01-23 02:00:00,160.501,160.78,160.357,160.606
2023-01-23 03:00:00,160.607,160.661,160.441,160.542
2023-01-23 04:00:00,160.542,160.601,160.448,160.508
2023-01-23 05:00:00,160.5,160.806,160.422,160.764
2023-01-23 06:00:00,160.765,161.175,160.758,161.009
2023-01-23 07:00:00,161.009,161.28,160.972,161.196
2023-01-23 08:00:00,161.193,161.628,161.162,161.525
2023-01-23 09:00:00,161.53,161.615,161.333,161.571
2023-01-23 10:00:00,161.571,161.595,160.869,161.006
2023-01-23 11:00:00,161.006,161.271,160.969,161.072
2023-01-23 12:00:00,161.074,161.076,160.755,160.87
2023-01-23 13:00:00,160.869,161.005,160.799,160.993
2023-01-23 14:00:00,160.994,161.215,160.924,161.044
2023-01-23 15:00:00,161.044,161.223,160.959,161.102
2023-01-23 16:00:00,161.102,161.496,161.085,161.299
2023-01-23 17:00:00,161.299,161.616,161.119,161.566
2023-01-23 18:00:00,161.564,161.682,161.494,161.65
2023-01-23 19:00:00,161.651,161.696,161.5,161.584
2023-01-23 20:00:00,161.584,161.798,161.561,161.636
2023-01-23 21:00:00,161.636,161.664,161.501,161.573
2023-01-23 22:00:00,161.576,161.724,161.535,161.701
2023-01-23 23:00:00,161.701,161.785,161.635,161.767
2023-01-24 00:00:00,161.689,161.773,161.534,161.646
2023-01-24 01:00:00,161.646,161.722,161.489,161.655
2023-01-24 02:00:00,161.655,161.766,161.229,161.394
2023-01-24 03:00:00,161.395,161.487,161.276,161.359
2023-01-24 04:00:00,161.359,161.582,161.235,161.417
2023-01-24 05:00:00,161.417,161.492,161.341,161.416
2023-01-24 06:00:00,161.416,161.467,161.194,161.34
2023-01-24 07:00:00,161.34,161.4,161.167,161.199
2023-01-24 08:00:00,161.202,161.416,161.132,161.288
2023-01-24 09:00:00,161.285,161.324,160.933,161.076
2023-01-24 10:00:00,161.065,161.306,161.028,161.118
2023-01-24 11:00:00,161.12,161.423,160.17,160.426
2023-01-24 12:00:00,160.426,160.472,160.154,160.303
2023-01-24 13:00:00,160.303,160.474,160.205,160.313
2023-01-24 14:00:00,160.313,160.407,160.05,160.067
2023-01-24 15:00:00,160.067,160.329,159.984,160.318
2023-01-24 16:00:00,160.311,160.892,160.186,160.756
2023-01-24 17:00:00,160.756,160.898,160.156,160.196
2023-01-24 18:00:00,160.198,160.332,160.125,160.272
2023-01-24 19:00:00,160.269,160.439,160.143,160.256
2023-01-24 20:00:00,160.256,160.455,160.253,160.405
2023-01-24 21:00:00,160.405,160.444,160.289,160.435
2023-01-24 22:00:00,160.438,160.543,160.379,160.537
2023-01-24 23:00:00,160.534,160.667,160.502,160.557
2023-01-25 00:00:00,160.427,160.548,160.407,160.446
2023-01-25 01:00:00,160.478,160.574,160.371,160.564
2023-01-25 02:00:00,160.573,160.792,160.503,160.629
2023-01-25 03:00:00,160.629,160.67,160.388,160.561
2023-01-25 04:00:00,160.561,160.724,160.442,160.605
2023-01-25 05:00:00,160.605,160.916,160.529,160.856
2023-01-25 06:00:00,160.857,160.919,160.708,160.769
