time,open,high,low,close
2023-01-02 07:00:00,1.57195,1.57195,1.5708600000000001,1.57146
2023-01-02 08:00:00,1.57173,1.57184,1.5704099999999999,1.5704099999999999
2023-01-02 09:00:00,1.56859,1.57071,1.5652300000000001,1.5692599999999999
2023-01-02 10:00:00,1.5692300000000001,1.5727,1.56684,1.56975
2023-01-02 11:00:00,1.56996,1.5732,1.5698400000000001,1.57157
2023-01-02 12:00:00,1.57157,1.5722,1.56943,1.57158
2023-01-02 13:00:00,1.57216,1.57216,1.56969,1.5697999999999999
2023-01-02 14:00:00,1.56985,1.57191,1.56793,1.5683799999999999
2023-01-02 15:00:00,1.56872,1.5705900000000002,1.56833,1.56908
2023-01-02 16:00:00,1.56904,1.56904,1.5661100000000001,1.56644
2023-01-02 17:00:00,1.56638,1.56658,1.56334,1.5636299999999999
2023-01-02 18:00:00,1.56358,1.5649899999999999,1.56254,1.56333
2023-01-02 19:00:00,1.56321,1.5649,1.56321,1.5639699999999999
2023-01-02 20:00:00,1.56403,1.56452,1.5624,1.56371
2023-01-02 21:00:00,1.5641,1.56565,1.56292,1.56521
2023-01-02 22:00:00,1.56511,1.56759,1.56371,1.56741
2023-01-02 23:00:00,1.56717,1.56888,1.56456,1.5672000000000001
2023-01-03 00:00:00,1.5672000000000001,1.56986,1.56513,1.56909
2023-01-03 01:00:00,1.5684399999999998,1.56942,1.5652300000000001,1.56796
2023-01-03 02:00:00,1.56748,1.5709300000000002,1.56723,1.57001
2023-01-03 03:00:00,1.57001,1.57268,1.57001,1.57179
2023-01-03 04:00:00,1.57184,1.57227,1.56658,1.56732
2023-01-03 05:00:00,1.56732,1.56732,1.5617100000000002,1.56208
2023-01-03 06:00:00,1.56208,1.56456,1.56208,1.5623399999999998
2023-01-03 07:00:00,1.56229,1.5706,1.56211,1.5689899999999999
2023-01-03 08:00:00,1.5689899999999999,1.5690300000000001,1.56613,1.56613
2023-01-03 09:00:00,1.56613,1.56738,1.5646200000000001,1.56516
2023-01-03 10:00:00,1.56511,1.57331,1.5651000000000002,1.57185
2023-01-03 11:00:00,1.57182,1.57412,1.56854,1.56909
2023-01-03 12:00:00,1.5691000000000002,1.5720399999999999,1.5691000000000002,1.57084
2023-01-03 13:00:00,1.5708199999999999,1.5737100000000002,1.57074,1.5717400000000001
2023-01-03 14:00:00,1.57176,1.5729600000000001,1.57085,1.57092
2023-01-03 15:00:00,1.57091,1.5718299999999998,1.56723,1.56726
2023-01-03 16:00:00,1.56725,1.56979,1.56429,1.5666099999999998
2023-01-03 17:00:00,1.56665,1.56995,1.56501,1.56521
2023-01-03 18:00:00,1.56521,1.56917,1.56436,1.56887
2023-01-03 19:00:00,1.56887,1.56887,1.56628,1.56738
2023-01-03 20:00:00,1.56738,1.56922,1.56735,1.5676999999999999
2023-01-03 21:00:00,1.5676999999999999,1.56911,1.56717,1.5684900000000002
2023-01-03 22:00:00,1.56848,1.56955,1.5678100000000001,1.5680399999999999
2023-01-03 23:00:00,1.5680399999999999,1.56901,1.56739,1.5677699999999999
2023-01-04 00:00:00,1.5678100000000001,1.5678100000000001,1.56303,1.56671
2023-01-04 01:00:00,1.56633,1.56956,1.56633,1.56789
2023-01-04 02:00:00,1.56786,1.5691199999999998,1.56549,1.5655299999999999
2023-01-04 03:00:00,1.5655000000000001,1.56578,1.56141,1.56195
2023-01-04 04:00:00,1.56193,1.56223,1.55948,1.56108
2023-01-04 05:00:00,1.5611000000000002,1.56113,1.55801,1.5581399999999999
2023-01-04 06:00:00,1.55815,1.56006,1.55092,1.55352
2023-01-04 07:00:00,1.5535,1.5571199999999998,1.5516100000000002,1.55383
2023-01-04 08:00:00,1.55382,1.55558,1.55332,1.55345
2023-01-04 09:00:00,1.5533700000000001,1.55345,1.54712,1.54825
2023-01-04 10:00:00,1.54825,1.55042,1.5441500000000001,1.54493
2023-01-04 11:00:00,1.54493,1.54548,1.54256,1.54417
2023-01-04 12:00:00,1.5441500000000001,1.54622,1.54346,1.54373
2023-01-04 13:00:00,1.5437400000000001,1.5447199999999999,1.5419399999999999,1.5430700000000002
2023-01-04 14:00:00,1.54306,1.54765,1.5428899999999999,1.5468899999999999
2023-01-04 15:00:00,1.54692,1.54751,1.54285,1.5432700000000001
2023-01-04 16:00:00,1.5432700000000001,1.5453299999999999,1.54163,1.54524
2023-01-04 17:00:00,1.5446,1.54894,1.54325,1.54701
2023-01-04 18:00:00,1.54701,1.55011,1.54688,1.5482
2023-01-04 19:00:00,1.5482399999999998,1.54949,1.5470000000000002,1.5494599999999998
2023-01-04 20:00:00,1.54945,1.55071,1.5466600000000001,1.5503900000000002
2023-01-04 21:00:00,1.55024,1.55219,1.54875,1.5504799999999999
2023-01-04 22:00:00,1.55051,1.55159,1.5499,1.55065
2023-01-04 23:00:00,1.5507,1.5508199999999999,1.54974,1.55038
2023-01-05 00:00:00,1.55046,1.55183,1.54905,1.5512899999999998
2023-01-05 01:00:00,1.55159,1.55355,1.5497,1.55302
2023-01-05 02:00:00,1.5529899999999999,1.55587,1.55293,1.55587
2023-01-05 03:00:00,1.55589,1.55594,1.5517400000000001,1.55286
2023-01-05 04:00:00,1.55284,1.55876,1.55281,1.55763
2023-01-05 05:00:00,1.55768,1.5594299999999999,1.55586,1.55919
2023-01-05 06:00:00,1.5591599999999999,1.55983,1.5556100000000002,1.55598
2023-01-05 07:00:00,1.5560100000000001,1.55722,1.5550199999999998,1.55518
2023-01-05 08:00:00,1.5552000000000001,1.55612,1.55355,1.55552
2023-01-05 09:00:00,1.55545,1.558,1.5539,1.5574400000000002
2023-01-05 10:00:00,1.55742,1.55992,1.5568,1.5569899999999999
2023-01-05 11:00:00,1.55701,1.5574599999999998,1.5552700000000002,1.55637
2023-01-05 12:00:00,1.5563500000000001,1.557,1.55377,1.5550899999999999
2023-01-05 13:00:00,1.55505,1.55505,1.55178,1.55259
2023-01-05 14:00:00,1.5526499999999999,1.55375,1.5513,1.5519699999999998
2023-01-05 15:00:00,1.5519699999999998,1.55919,1.55035,1.55691
2023-01-05 16:00:00,1.55691,1.55986,1.55666,1.5578699999999999
2023-01-05 17:00:00,1.5578699999999999,1.56154,1.55689,1.5608300000000002
2023-01-05 18:00:00,1.5608,1.56149,1.55803,1.5602800000000001
